estadio;tempo;planta;hibrid_tolerancia;n_pulverizacoes;n_pulverizacoes_caracter;n_cigarrinha
V1-V2;0;1;baixa;0;a_0;0
V1-V2;0;2;baixa;0;a_0;0
V1-V2;0;3;baixa;0;a_0;0
V1-V2;0;4;baixa;0;a_0;0
V1-V2;0;5;baixa;0;a_0;0
V1-V2;0;6;baixa;0;a_0;0
V1-V2;0;7;baixa;0;a_0;1
V1-V2;0;8;baixa;0;a_0;0
V1-V2;0;9;baixa;0;a_0;0
V1-V2;0;10;baixa;0;a_0;0
V1-V2;0;11;baixa;0;a_0;0
V1-V2;0;12;baixa;0;a_0;0
V1-V2;0;13;baixa;0;a_0;0
V1-V2;0;14;baixa;0;a_0;0
V1-V2;0;15;baixa;0;a_0;0
V1-V2;0;16;baixa;0;a_0;0
V1-V2;0;17;baixa;0;a_0;0
V1-V2;0;18;baixa;0;a_0;1
V1-V2;0;19;baixa;0;a_0;0
V1-V2;0;20;baixa;0;a_0;0
V1-V2;0;21;baixa;0;a_0;0
V1-V2;0;22;baixa;0;a_0;0
V1-V2;0;23;baixa;0;a_0;1
V1-V2;0;24;baixa;0;a_0;2
V1-V2;0;25;baixa;0;a_0;0
V1-V2;0;26;baixa;0;a_0;0
V1-V2;0;27;baixa;0;a_0;0
V1-V2;0;28;baixa;0;a_0;0
V1-V2;0;29;baixa;0;a_0;1
V1-V2;0;30;baixa;0;a_0;0
V1-V2;0;31;baixa;0;a_0;0
V1-V2;0;32;baixa;0;a_0;0
V1-V2;0;33;baixa;0;a_0;0
V1-V2;0;34;baixa;0;a_0;0
V1-V2;0;35;baixa;0;a_0;0
V1-V2;0;36;baixa;0;a_0;0
V1-V2;0;37;baixa;0;a_0;0
V1-V2;0;38;baixa;0;a_0;0
V1-V2;0;39;baixa;0;a_0;0
V1-V2;0;40;baixa;0;a_0;0
V3-V4;7;1;baixa;0;a_0;0
V3-V4;7;2;baixa;0;a_0;2
V3-V4;7;3;baixa;0;a_0;2
V3-V4;7;4;baixa;0;a_0;0
V3-V4;7;5;baixa;0;a_0;0
V3-V4;7;6;baixa;0;a_0;2
V3-V4;7;7;baixa;0;a_0;0
V3-V4;7;8;baixa;0;a_0;0
V3-V4;7;9;baixa;0;a_0;0
V3-V4;7;10;baixa;0;a_0;0
V3-V4;7;11;baixa;0;a_0;1
V3-V4;7;12;baixa;0;a_0;1
V3-V4;7;13;baixa;0;a_0;1
V3-V4;7;14;baixa;0;a_0;0
V3-V4;7;15;baixa;0;a_0;0
V3-V4;7;16;baixa;0;a_0;0
V3-V4;7;17;baixa;0;a_0;0
V3-V4;7;18;baixa;0;a_0;0
V3-V4;7;19;baixa;0;a_0;0
V3-V4;7;20;baixa;0;a_0;0
V3-V4;7;21;baixa;0;a_0;3
V3-V4;7;22;baixa;0;a_0;0
V3-V4;7;23;baixa;0;a_0;0
V3-V4;7;24;baixa;0;a_0;0
V3-V4;7;25;baixa;0;a_0;0
V3-V4;7;26;baixa;0;a_0;1
V3-V4;7;27;baixa;0;a_0;0
V3-V4;7;28;baixa;0;a_0;0
V3-V4;7;29;baixa;0;a_0;1
V3-V4;7;30;baixa;0;a_0;0
V3-V4;7;31;baixa;0;a_0;0
V3-V4;7;32;baixa;0;a_0;0
V3-V4;7;33;baixa;0;a_0;2
V3-V4;7;34;baixa;0;a_0;0
V3-V4;7;35;baixa;0;a_0;1
V3-V4;7;36;baixa;0;a_0;1
V3-V4;7;37;baixa;0;a_0;0
