hibrido;pulgao;infestacao;injuria;altura_planta;comprimento_panicula;mat_verde;mat_seca;peso_todos_graos;peso_1000_graos
BRS373;presente;10;75;92,5;25,5;85;40;22,2;7,805
CMSXS3017;presente;55;80;105;28;125;60;51,6;11,29
AG1085;presente;45;85;97,5;27,5;90;50;34,2;13,5
1822043;presente;45;70;95;24,5;145;55;38,7;19,98
CMSXS3012;presente;65;65;105;25;115;59;32,3;18,375
BRS310;presente;75;50;107,5;25,5;115;55;57;14,665
2116017;presente;70;40;70;21;165;65;40,1;12,28
SC110;presente;10;60;132,5;28,5;140;52;23,9;24,595
CMSXS3012;presente;80;70;102,5;24,5;95;45;23,3;12,945
CMSXS3017;presente;55;55;72,5;23;95;48;44,5;11,625
SC110;presente;55;55;112,5;29;50;35;35,4;15,35
2116017;presente;75;55;115;26,5;110;65;31,9;10,41
BRS310;presente;90;60;112,5;29;45;38;30,4;12,225
AG1085;presente;70;75;100;25,5;70;60;31,7;12,73
BRS373;presente;60;50;50;14;135;50;47,4;10,23
1822043;presente;35;25;107,5;26;70;20;2,1;12,325
AG1085;presente;10;70;77,5;23,5;60;51;7,2;5,555
SC110;presente;50;75;105;23,5;85;45;49,8;14,255
BRS310;presente;10;90;97,5;22;50;45;24,9;11,485
BRS373;presente;80;50;105;24,5;95;56;35;11,425
CMSXS3017;presente;10;85;117,5;24,5;60;50;29,8;7,695
CMSXS3012;presente;30;75;112,5;26;90;50;24,2;9,945
1822043;presente;75;50;115;28;215;54;31,3;14,53
2116017;presente;10;80;92,5;23,5;60;52;19,3;6,95
BRS373;presente;5;85;77,5;20;70;61;15,4;5,77
SC110;presente;55;65;85;25;40;18;42,8;11,09
AG1085;presente;80;45;110;28;285;70;19,7;31
CMSXS3012;presente;25;80;110;26;60;55;33,7;3,74
BRS310;presente;15;90;107,5;25,5;45;40;23;8,875
1822043;presente;55;55;112,5;24,5;130;55;37,1;11,33
CMSXS3017;presente;35;75;107,5;25;60;50;44,4;11,03
2116017;presente;50;80;117,5;27;60;45;21,7;7,975
CMSXS3012;presente;5;85;77,5;22,5;70;60;19,4;9,1
SC110;presente;40;75;112,5;24,5;55;40;37,6;16,76
CMSXS3017;presente;10;90;105;27;55;45;28,5;7,43
BRS310;presente;5;90;105;26,5;50;42;16,8;6,345
AG1085;presente;5;90;52,5;12,5;65;55;16,5;7,43
BRS373;presente;55;80;102,5;24;120;50;34,1;14,365
2116017;presente;75;55;100;23,5;65;54;22,9;7,455
1822043;presente;35;75;102,5;24,5;55;45;7,7;6,48
AG1085;presente;45;75;102,5;23;50;45;5,1;1,785
BRS373;presente;40;75;105;28;80;43;27,1;9,15
2116017;presente;5;50;122,5;29;60;50;12,9;5,6
CMSXS3012;presente;35;70;115;26;80;58;23,3;7,81
BRS310;presente;30;80;107,5;24;60;51;40,9;12,03
CMSXS3017;presente;65;60;75;21,5;145;52;42,8;12,285
SC110;presente;30;75;107,5;28,5;35;30;26;16,68
1822043;presente;55;50;117,5;30;85;50;28;16,76
CMSXS3012;presente;70;50;110;27,5;55;44;16,6;11,89
CMSXS3017;presente;75;50;117,5;28,5;150;55;36,9;8,485
AG1085;presente;75;50;92,5;24;195;63;41,6;16,855
BRS373;presente;70;50;90;22;145;54;44,5;11,46
SC110;presente;20;75;107,5;22,5;45;37;37,6;14,895
2116017;presente;40;75;110;26;50;30;7,4;9,115
1822043;presente;50;60;125;29,5;100;47;18,3;7,78
BRS310;presente;5;90;117,5;29,5;55;45;30,3;11,22
AG1085;presente;5;45;112,5;25,5;55;46;13,5;8,025
1822043;presente;55;70;67,5;18,5;85;55;28,2;10,755
2116017;presente;10;90;100;23,5;55;45;7,6;6,795
BRS310;presente;5;50;130;27,5;50;45;22,3;6,795
CMSXS3017;presente;45;75;120;28;80;50;28,1;7,29
SC110;presente;60;65;82,5;19;45;25;11,9;19,395
BRS373;presente;80;50;102,5;23,5;110;52;35,2;10,425
CMSXS3012;presente;70;55;112,5;26,5;155;65;15,2;11,155
AG1085;presente;45;70;120;29;80;52;13,1;9,93
BRS373;presente;70;50;82,5;24;160;65;40,1;18,75
CMSXS3012;presente;25;55;107,5;28,5;140;61;44;25,81
CMSXS3017;presente;35;75;82,5;24;75;60;37,5;8,11
1822043;presente;80;55;105;28;230;60;32,8;23,05
BRS310;presente;45;75;107,5;24,5;55;43;20,9;8,835
SC110;presente;40;75;97,5;28;55;46;45,9;16,7
2116017;presente;5;85;107,5;27;60;51;7,4;3,945
SC110;presente;25;80;102,5;28;55;45;45,9;15,41
AG1085;presente;60;70;105;29;60;50;16,1;12,6
BRS310;presente;90;65;90;25;70;45;37,4;15,9
BRS373;presente;90;60;97,5;28;90;45;11,5;21,52
1822043;presente;65;60;107,5;27;115;56;41,2;15,96
CMSXS3012;presente;50;70;102,5;28,5;60;50;36,4;17,045
CMSXS3017;presente;45;70;105;29;55;48;42,6;10,56
2116017;presente;70;60;90;25;85;50;29,3;10,845
BRS373;ausente;0;0;72,5;18;150;56;58,7;28,995
CMSXS3017;ausente;0;0;107,5;25,5;130;55;39,6;16,13
AG1085;ausente;0;0;112,5;29;170;70;75;33,01
1822043;ausente;0;0;115;28;220;75;77,4;22,505
CMSXS3012;ausente;0;0;115;29,5;200;70;74,6;22,215
BRS310;ausente;0;0;105;27,5;170;60;81;20,245
2116017;ausente;0;0;112,5;26;170;65;49,9;17,065
SC110;ausente;0;0;70;17;130;47;33,6;25,35
CMSXS3012;ausente;0;0;90;22,5;205;74;38,3;27,275
CMSXS3017;ausente;0;0;102,5;21,5;165;58;62,8;23,63
SC110;ausente;0;0;77,5;19,5;130;50;32,1;25,915
2116017;ausente;0;0;115;26,5;190;80;82,4;23,14
BRS310;ausente;0;0;120;25,5;185;60;37,2;20,81
AG1085;ausente;0;0;100;20,5;165;65;87,9;37,01
BRS373;ausente;0;0;100;20,5;115;45;46,2;19,105
1822043;ausente;0;0;120;28,5;215;65;76,6;21,275
AG1085;ausente;0;0;110;26;190;60;95,9;32,73
SC110;ausente;0;0;80;22;125;50;48,9;25,42
BRS310;ausente;0;0;112,5;25,5;120;45;47,8;20,23
BRS373;ausente;0;0;97,5;25;170;60;69,8;20,43
CMSXS3017;ausente;0;0;110;24,5;150;57;53;16,135
CMSXS3012;ausente;0;0;122,5;27;210;70;71,8;24,31
1822043;ausente;0;0;110;24;225;75;76,2;23,395
2116017;ausente;0;0;102,5;27;205;73;54,6;16,905
BRS373;ausente;0;0;82,5;20;165;60;65;18,59
SC110;ausente;0;0;70;16,5;180;49;35,8;26,65
AG1085;ausente;0;0;107,5;23,5;220;64;67,3;32,7
CMSXS3012;ausente;0;0;122,5;25,5;190;75;71,4;27,105
BRS310;ausente;0;0;122,5;25,5;135;55;45,5;19,665
1822043;ausente;0;0;120;27;210;75;74,5;28,88
CMSXS3017;ausente;0;0;112,5;22,5;150;56;58,4;21,125
2116017;ausente;0;0;117,5;26;175;66;60,6;19,205
CMSXS3012;ausente;0;0;117,5;29;210;80;83,6;24,96
SC110;ausente;0;0;75;19;90;37;43,7;23,16
CMSXS3017;ausente;0;0;107,5;26;180;66;93;20,445
BRS310;ausente;0;0;115;26;170;65;65,5;23,915
AG1085;ausente;0;0;120;31,5;205;75;95,5;33,52
BRS373;ausente;0;0;95;23;155;56;45;21,795
2116017;ausente;0;0;102,5;25;190;70;61,9;19,37
1822043;ausente;0;0;107,5;25;230;80;83,2;31,775
